id	bloque	titulo	cuerpo
137	Democracia Social	Una nova Llei d'Educació, que neixi del debat i la participació de tota la comunitat educativa	"Derogarem la Llei Orgànica per a la Millora de la Qualitat Educativa (LOMQE) i promourem un ampli debat en la comunitat educativa per tal de formular una nova Llei d'Educació que compti amb la major participació i el major suport possible de la comunitat educativa. Els nostres objectius seran:

-  Posar fi a la inestabilitat del sistema educatiu espanyol que, en els últims trenta-tres anys, ha elaborat set lleis diferents sense comptar gairebé amb la participació de la comunitat educativa.
-  La nova Llei d'Educació buscarà el desenvolupament personal i social de les persones al llarg de tota la vida. També estarà molt present l'educació ambiental com a part del desenvolupament curricular dels centres."
138	Democracia Social	Pla Estatal d'Educació Inclusiva	"Elaborarem un Pla Estatal d'Educació Inclusiva que reconegui la diversitat de l'alumnat i garanteixi la seva plena integració, tant en l'ensenyament obligatori com en el postobligatori.

-  L'escolarització de l'alumnat amb diversitat funcional es realitzarà en centres ordinaris, proveïts dels recursos materials i personals necessaris per a la seva educació.
-  Els centres d'educació especial actuals i el seu personal s'integraran a la xarxa d'ensenyament ordinari, i es podran establir com a centres de recursos per a l'educació especial.
-  La formació contínua del professorat en metodologies pedagògiques innovadores i inclusives serà d'obligat compliment. Cada any es programarà el finançament del servei en funció del nombre d'alumnes i de la seva ubicació.

Igualment, establirem un nou procés de baremació de ràtios professionals / alumnes en l'atenció educativa de l'alumnat amb necessitats especials, que tingui en compte no solament el nombre d'alumnes, sinó també les seves característiques personals i familiars, les del centre i, així mateix, les característiques sociodemogràfiques de l'entorn del centre. En última instància, l'assignació de recursos es realitzarà atenent al criteri dels professionals de l'ensenyament del centre i en cap cas a criteris únics de proporció de l'alumnat amb necessitats especials."
139	Democracia Social	Dret a una educació vehiculada en les llengües cooficials	"A més del castellà, idioma oficial en tot el territori estatal, existeixen altres llengües amb diferent estatus jurídic en els seus respectius estatuts d'autonomia. Totes elles, al costat del castellà, són patrimoni cultural i lingüístic de tot l'Estat.

Ja que la ciutadania té dret al fet que els seus estudis estiguin vehiculats en aquestes llengües, és necessària la normalització lingüística a través del respecte a les decisions culturals i pedagògiques que han adoptat les diferents comunitats autònomes i a la Carta Europea de les Llengües Minoritàries o Regionals. Per això, garantirem l'accés a l'aprenentatge en les llengües cooficials a qualsevol territori de l'Estat, a través de centres específics i de la promoció dels intercanvis escolars entre comunitats autònomes. I es fomentarà la identitat cultural mitjançant el coneixement de l'entorn i la interculturalitat, amb un currículum adaptat a la llengua i cultura de cada territori de l'Estat espanyol."
140	Democracia Social	Pla d'Aprenentatge Integrat de Llengües Estrangeres	"Desenvoluparem un Pla d'Aprenentatge Integrat de Llengües Estrangeres per a l'educació primària i secundària, orientat a millorar l'aprenentatge de les llengües estrangeres i combatre la segregació social associada al currículum diferenciat en els actuals programes.

-  El pla haurà de garantir que no representa una desigualtat per a l'alumnat de diferent origen social.
-  El pla es desenvoluparà durant quatre cursos escolars: durant el primer any es realitzarà un diagnòstic i una avaluació de la situació actual, i es crearà un nou pla consensuat amb la comunitat educativa. Durant el segon i el tercer any es crearà un programa pilot en diversos centres, que se sotmetrà a avaluació. I, finalment, durant el quart any s'estendrà a tots els centres escolars del país."
141	Democracia Social	Normalització de les metodologies participatives	"Promourem el desenvolupament de noves pràctiques educatives basades en metodologies actives i participatives de l'alumnat, per al que s'integrarà el coneixement que l'alumnat construeix col·lectivament, es potenciarà el desenvolupament de les intel·ligències múltiples harmonitzades i es generaran espais creatius i col·laboratius entre alumnat i professorat.

Apostarem perquè l'ensenyament de les arts enforteixi una visió del món des de la sensibilitat, l'emoció i el desenvolupament de la cognició.

Desenvoluparem un pla estatal per a la promoció de biblioteques d'aula, el programari lliure i recursos educatius oberts, les pàgines web i altres formes de magatzematge d'informació i recursos de caràcter cooperatiu.

Engegarem sistemes per a la transferència, l’extensió i el perfeccionament de les experiències innovadores."
142	Democracia Social	Generalització dels centres integrats d'ensenyaments de règim general i especial de música i dansa	"Estendrem els centres integrats en els quals s'imparteixen de forma simultània els ensenyaments de règim general i els ensenyaments de règim especial de música i dansa, i fomentarem la normalització dels cossos docents dels conservatoris en totes les etapes de l'educació artística.

Així mateix, integrarem els ensenyaments artístics superiors en el sistema universitari."
143	Democracia Social	Intel·ligència emocional	Incorporarem una assignatura sobre intel·ligència emocional a l'Educació Secundària Obligatòria (ESO), així com una estratègia de formació de formadors que permeti la incorporació de les eines de la psicologia cognitiva, la psicoanàlisi i altres branques de la psicologia al conjunt de les estratègies pedagògiques de l’aula.
144	Democracia Social	Dotació de majors competències als consells escolars	"Recolzarem que el consell escolar —màxim òrgan de govern a cada centre— sigui qui triï al director o directora del centre, participi en el projecte educatiu i en les seves decisions de millora. Aquesta participació dels consells escolars constitueix la millor garantia de participació democràtica de tota la comunitat educativa.

Els consells escolars elaboraran els reglaments orgànics de cada centre amb la participació de la comunitat educativa, i seran garantits per una inspecció d’educació totalment independent."
145	Democracia Social	Nou sistema d'accés a la funció pública docent	"Instaurarem un nou sistema d'accés a la funció pública docent, que estigui sustentat en criteris d'objectivitat i transparència, en el qual s’avaluïn coneixements específics d'àrea o matèria, així com la capacitació pedagògica i les habilitats professionals, amb un ampli període de pràctica i una ponderació tant dels mèrits professionals com acadèmics.

Revisarem i crearem un nou model de borses d’interinatge, per a això dotarem als centres de plantilles més estables (actualment ocupen un alt percentatge d'inestabilitat laboral).

A més, vivim en un context social en evolució, amb cultures en transformació i innovacions pedagògiques, que no demanda una educació estàtica. Apostarem, per tant, per uns professionals preparats per a la innovació, l'evolució, la flexibilitat i la competència, establint una formació inicial que asseguri una sòlida formació pedagògica i una pràctica adequada a les noves metodologies i reptes educatius. Entenem que el desenvolupament professional ha de produir-se al llarg de tota la docència, la qual cosa afavorirà la formació en igualtat de gènere i coeducació, en assetjament escolar, en multiculturalitat i en el respecte al medi ambient, així com en el treball col·laboratiu amb les famílies i en el disseny de programes per afavorir l'equitat."
146	Democracia Social	Disminució de la ràtio d'alumnat per aula	"Advocarem per la disminució de la ràtio d'alumnat per aula per tornar a la situació anterior al 2008, amb màxims de 8, 12 o 16 alumnes en primer cicle, i amb un màxim de 20 alumnes en segon cicle d'educació infantil. Es buscarà l'aproximació gradual a les recomanacions realitzades per la Xarxa d'Atenció a la Infància de la Comissió Europea: 25 alumnes en primària i secundària; 30 alumnes en batxillerat; 15 alumnes en formació professional bàsica, i 25 alumnes en els cicles formatius de grau mitjà i superior.

Recuperarem, amb caràcter urgent, les ràtios per obrir i tancar escoles dins del món rural: 5 per obrir-les i 3 per tancar-les.

Aplicarem coeficients de reducció en funció dels alumnes amb necessitats educatives especials presents a l'aula.

Reduirem les hores de docència directa amb la finalitat de fer viable una educació de qualitat, que contempli en l'horari del professorat els temps necessaris per a la coordinació dels equips i la recerca i reflexió sobre la pràctica docent."
147	Democracia Social	Pla de Suport a Centres i Equipaments Escolars	"Elaborarem un pla de centres i equipaments escolars per assegurar una oferta pública en tots els racons de l'Estat:

-  El pla contemplarà el progressiu increment pressupostari necessari perquè s'assegurin uns requisits mínims per a tots els centres escolars de l'Estat en dotacions de recursos materials i infraestructures.
-  Els centres de nova construcció comptaran amb experts en educació per edificar centres escolars adaptats per a l'ensenyament, on s'atenguin les necessitats de l'alumnat amb diversitat funcional i, en definitiva, es garanteixin les arquitectures, espais i temps que ajudin al bon fer tant del professorat com de l'alumnat."
148	Democracia Social	Educació infantil de 0 a 6 anys universal i gratuïta	"Posarem els mitjans pressupostaris per oferir una educació infantil de 0 a 6 anys que sigui universal, gratuïta i de qualitat, i li atorgarem una identitat educativa plena i pròpia en les mateixes condicions ponderades que la resta de les etapes del sistema educatiu. Per a això, elaborarem un projecte de llei que garanteixi l'estabilitat de la xarxa d'escoles infantils públiques i l'accés dels usuaris en igualtat de condicions.

Així mateix, desenvoluparem un pla específic de coeducació en aquesta xarxa, com a primer pas cap a una educació no sexista, i generarem espais per a la capacitació en criança respectuosa i per a l'acompanyament a demanda de famílies i docents, amb l'objectiu de desenvolupar les seves habilitats educatives i de relació amb els menors.

Recolzarem especialment, amb caràcter preventiu i d'intervenció social, a les famílies en situació de vulnerabilitat social."
149	Democracia Social	Formació Professional realment gratuïta en tots els nivells	"Ampliarem l'oferta de Formació Professional a la xarxa de centres públics amb una planificació que respongui a les demandes del mercat laboral i a l'àmbit territorial, sobretot en el món rural, amb una dotació suficient de recursos humans i materials, per millorar els nivells d'educació i la qualificació de la població. Així, evitarem que un elevat nombre de joves es quedi sense plaça a centres públics, cosa que succeeix en l'actualitat.

Es regularan els aspectes docents i laborals en els convenis de formació a centres de treball, de forma que les empreses assumeixin la seva responsabilitat social i l’alumnat obtingui una remuneració adequada, amb el consegüent benefici per a ambdós. El nombre d'hores de formació en els centres de treball serà el necessari per obtenir les competències corresponents sense que pugui anar en detriment de les hores de formació en el centre educatiu. L'experiència actual de Formació Professional dual i estesa se suspendrà fins que es proposi un nou disseny, ja que no compleix els requisits mínims de qualitat ni en la seva vessant formativa ni en la seva vessant laboral."
150	Democracia Social	Nova Llei d'Universitats	"Promourem una nova Llei d’Universitats, que inclogui la millora del seu finançament, en el marc d’un augment de la inversió pública en R+D+i per sobre del 2 % del PIB.

-  Aquesta llei es complementarà amb l’Estatut del Personal Docent i Investigador que contempli la reinserció de joves científics, l’estabilitat en la carrera docent i investigadora i mecanismes que afavoreixin la igualtat de gènere.
-  La qualitat de les universitats es basa en la del seu personal, que es garantirà amb una reforma de l’avaluació i acreditació que respecti la diversitat d’objectius docents i de recerca i l’autonomia universitària.
-  La Llei d'Universitats inclourà igualment una reforma de la seva governança, que asseguri la participació de la comunitat universitària i la protegeixi, com a servei públic, d'interessos corporatius interns i externs i que, així mateix, garanteixi la transparència en la seva gestió i la rendició de resultats davant la societat (a la qual ha de servir)."
151	Democracia Social	Taxes universitàries accessibles per a totes i tots	"No pot concebre's una transformació profunda de la societat sense una participació destacada de les universitats. Amb la nostra proposta volem crear les condicions que afavoreixin la sinergia imprescindible entre l'esforç científic i docent que s’hi realitza i la millora en la vida de totes les persones del nostre país. Per a això, proposem:

-  Garantir l’accés universal a qualsevol nivell dels estudis superiors, mitjançant una reducció de les taxes i un augment de les beques, de forma que ningú quedi exclòs por raons socioeconòmiques.
-  Serà fonamental el compromís social de les universitats i que el mapa de titulacions i la R+D+i apostin per línies de docència i recerca orientades al benestar de les persones i amb capacitat per generar un retorn al conjunt de la societat.
-  S'impulsarà la coordinació entre els nivells autonòmic i estatal, així com la col·laboració amb els centres de secundària i de Formació Professional."
152	Democracia Social	Educació al llarg de la vida: educació per a adults	"Ampliarem el nombre de centres educatius públics que imparteixen ensenyaments en les modalitats de nocturn, a distància i per a persones adultes.

Recuperarem horaris flexibles i adequats a la impartició de la docència en els Centres d’Educació per Persones Adultes (CEPA), a fi de possibilitar d’aquesta manera tant l’aprenentatge al llarg de la vida com la conciliació de la vida familiar i laboral. I recuperarem igualment l'orientació psicopedagògica en els CEPA, que es realitzarà en coordinació amb els agents socials de l’entorn. Elaborarem de forma participativa un Pla de Educació d’Adults, que inclourà ensenyaments com l’alfabetització tecnològica i els idiomes, segons la demanda social. Amb aquest pla es recuperaran les plantilles d’acord amb les necessitats reals de l’oferta educativa.

Tot l'esmentat anteriorment es realitzarà intentant garantir la cooperació i la coordinació de l'educació d’adults amb els municipis adherits (Carta d’Adhesió), per promoure un treball conjunt i orientat a la població local."
153	Democracia Social	Reforma universitària participativa	"Obrirem a la participació les institucions universitàries com a pas previ a tota aquesta reforma:

-  S'augmentaran les enquestes d'avaluació en tots els nivells de la gestió i per a tots els membres de la comunitat universitària.
-  S'inclourà la participació en els departaments de qualitat i s'implementaran programes de col·laboració dels sectors universitaris amb altres centres educatius i amb la societat civil.

Fomentarem aquesta cooperació dins del sistema amb la posada en marxa d’un procés participatiu de reforma de la universitat, que associï la consecució de finançament extra amb la culminació d’uns objectius acordats mútuament.

A la pràctica, a més del finançament general derivat de les transferències a les comunitats autònomes, l'Estat aportarà un finançament complementari per donar suport a aquelles universitats que apostin per augmentar l'impacte social de les seves investigacions o implantin mesures per millorar les condicions de conciliació familiar, la igualtat de gènere, la transparència i la democratització institucional.

L'estratègia per a cada centre serà revisada anualment en funció dels objectius acordats. Aquests objectius no han d’implementar-se necessàriament de la mateixa manera, sinó que poden variar segons les necessitats de cada universitat."
154	Democracia Social	Consorci universitari per a la gestió de despeses	"Crearem un consorci universitari que impliqui les universitats públiques, les comunitats autònomes i el Govern a fi de reforçar el sistema públic d'ensenyament i recerca.

Des d’aquest consorci es coordinarà la creació d'òrgans  mancomunats en els àmbits autonòmic i estatal que comparteixin despeses en el finançament de serveis i recursos: subscripcions online, grans infraestructures de recerca, compres de material, optimització o renovació de recursos informàtics."
155	Democracia Social	Fi de la precarietat del professorat universitari	"La reducció de la taxa de reposició (primer al 10  % i després al 50 %) ha suposat un cop decisiu a la qualitat de l'ensenyament universitari. Per resoldre la dramàtica situació actual, recuperarem el professorat suficient i acabarem amb la precarització perquè no se’n ressenti la qualitat educativa:

-  Reduirem la relació alumne/professor del 13/1 actual a 10/1 al final de la legislatura.
-  Establirem per llei el percentatge màxim de professorat associat que pot haver-hi en una universitat (10 %), amb un tractament especial per als graus de la branca biosanitària, els associats de la qual presenten unes característiques especials.
-  Augmentarem la taxa de reposició de forma immediata i incondicionada fins a compensar les pèrdues de professorat dels últims anys. La taxa mai serà inferior al 100 %.
-  Promocionarem la jubilació parcial voluntària entre el funcionariat més gran de seixanta anys, de manera que es puguin dedicar esforços a rejovenir les plantilles sense perdre l'experiència acumulada (Late Career Fellowship)."
156	Democracia Social	Reforma de l'Agencia Nacional de Evaluación de la Calidad y  Acreditación (ANECA)	"-  Reformarem el sistema d'avaluació per garantir els objectius docents, de recerca i de divulgació del coneixement, així com els principis d'igualtat i qualitat de l'ensenyament i l'autonomia universitària.
-  Adequarem les avaluacions a la realitat universitària, mitjançant mecanismes per a la participació de la comunitat universitària a través de representants escollits democràticament.
-  Inclourem avaluacions externes amb paràmetres internacionals complementaris als que hagin funcionat fins al moment i adequats a la lògica interna de cadascuna de les disciplines i àrees de coneixement.
-  L'ANECA crearà un segell de «Dona i Ciència» per certificar els centres amb provada trajectòria en la igualtat d'oportunitats. Entre els criteris per obtenir aquest distintiu, es valorarà la presència de dones en la composició dels comitès científics i acadèmics, la implementació de protocols d'actuació contra l'assetjament o les contractacions de personal a partir de criteris d'igualtat en les polítiques de conciliació."
157	Democracia Social	Per una infància sense deures	"Després de sis hores de jornada laboral-escolar, les nostres nenes i nens de primària arriben a casa per continuar aquesta jornada, que pot arribar fins i tot a les vuit o deu hores alguns dies. Hi ha moltes i diverses formes d'aprendre: jugant, imaginant, creant, dibuixant o desenvolupant activitats extraescolars amb les quals gaudeixin realment.

Per això, proposem que a la nova Llei d'Educació s’hi contempli el descans, i el gaudir joiós dels nostres nens i nenes després de la seva jornada escolar, i per aconseguir-ho dissenyarem un sistema educatiu on es promogui un altre tipus d'ensenyaments i aprenentatges. D'aquesta manera, es realitzaran les tasques escolars a l'escola, amb un temps real perquè es puguin finalitzar, mentre que el treball que es desenvolupi a casa serà només aquell que no hagi donat temps a acabar en l'àmbit escolar. Així, els nostres nens i les nostres nenes podran gaudir de temps lúdic i dels seus pares."
158	Democracia Social	Mesures urgents contra la pobresa infantil i l'exclusió  social	"Desenvoluparem un Pacte d'Estat per la Infància que blindi els drets de la infància i l'adolescència per garantir la igualtat d'oportunitats entre nenes, nens i adolescents (donada la seva condició de vulnerabilitat) i reduir la pobresa infantil. Aquest pacte comportarà les mesures següents:

-  Una renta garantida amb revisió a l’alça en funció dels nens i les nenes presents a la unitat familiar.
-  Pujades progressives en el salari mínim interprofessional, amb l'objectiu d'aconseguir els vuit-cents euros mensuals el 2018.
-  Desenvolupament de plans específics de formació i activació de l'ocupació destinats a fomentar l'ocupabilitat dels adults amb nens, nenes o persones dependents al seu càrrec, especialment en els casos de dones amb nens al seu càrrec o adults de famílies monoparentals."
159	Democracia Social	Llei de Protecció Integral contra la Violència envers la Infància i l'Adolescència	"Aprovarem una Llei de Protecció Integral contra la Violència sobre la Infància i l'Adolescència que abordi de manera específica les diferents formes de violència contra la infància i l'adolescència (tracta, explotació, bullying, ciberbullying, segregació, desnonaments).

-  Aquesta nova llei promourà l’aprofundiment en el coneixement i el registre de les diferents formes de violència contra nens, nenes i adolescents en els àmbits familiars i extrafamiliars.
-  La llei contemplarà la creació d’un número d’atenció telefònica a l’infant, gratuït, anònim i segur per al menor, similar al que existeix per a la denúncia de la violència masclista (016).
-  Creació de la figura del Defensor de l’Infant i l’Adolescent, tant en l’àmbit estatal com en l’autonòmic o municipal.
-  Desenvolupament de campanyes contra la violència sobre la infància i l’adolescència que tinguin com a referències espacials bàsiques els mitjans de comunicació, la família, l’escola, l’atenció primària i els equips de serveis socials.
-  Donar suport administratiu i econòmic actiu a l’acolliment familiar (famílies cangur, famílies paraigua, etcètera) de nens i nenes víctimes de violència, abandonament o vivències traumàtiques, enfront del model d’acolliment residencial. "
160	Democracia Social	Nenes, nens i adolescents: prioritat de les institucions	"Donarem major visibilitat a la infància en les institucions mitjançant les següents mesures:

-  Creació d’una Comissió Permanent de la Infància i l'Adolescència al Congrés dels Diputats amb la funció principal d'avaluar i fer el seguiment de l'impacte de totes les propostes legislatives i polítiques públiques relatives a aquest sector de  la població.
-  Creació del Consell de Participació Infantil i Adolescent, amb caràcter estatal.
-  Reforma de l'actual Observatori de la Infància, amb la representació de la infància i l’adolescència, per millorar les seves competències d'investigació de la realitat social del col·lectiu i la seva capacitat d'incidència en les polítiques públiques. Aquest observatori vetllarà per una major visibilitat dels nens, nenes i adolescents en les estadístiques oficials."
161	Democracia Social	La recepta esportiva: més poliesportiu i menys ambulatori	"Considerem que és imprescindible un Pla Integral de Promoció de la Salut per abordar el sedentarisme i l’obesitat infantil, sobre tot si volem que la nostra societat avanci de forma saludable, i ho farem des d’una perspectiva familiar i comunitària. Durem a terme l’esmentat Pla en coordinació amb els diferents ministeris implicats, les comunitats autònomes i els ajuntaments. Tres són els nostres objectius principals:

-  Reduir les taxes de sedentarisme i obesitat infantil actuals (43 %) i les càrregues de malaltia per inactivitat física (entre un 20 % i un 30 %; malalties cardiovasculars, diabetis tipus II, càncer de mama i càncer de colon).
-  Prevenir hàbits no saludables com el tabaquisme o el consum d’alcohol.
-  Incidir en la taxa de mortalitat (entre un 8% i un 14%), que actualment s’atribueix a les causes anteriors.
Abordarem aquest pla multidisciplinàriament, amb la creació de comunitats actives en les quals participarà la comunitat sanitària, cultural, d'oci, esportiva, educativa, d'ocupació i social.
-  Les derivacions als poliesportius i a les activitats extraescolars partiran des dels diferents agents, especialment des dels especialistes en pediatria, infermeria i pediatria d'atenció primària, o des de l'àmbit del treball social, els moviments associatius representatius de la promoció de la salut en la infància i, per descomptat, l'educació.
-  Serà necessària la implicació dels progenitors en les activitats i formacions.
-  Es donarà prioritat a la població de risc sanitari o en situació d’exclusió social.

Les receptes esportives es concretaran en estratègies amb diferents programes d’activitat física segons el grup de risc a què pertanyin les persones que hi vulguin participar, i s’adequaran a les particularitats locals i a la disponibilitat de recursos. Alguns exemples de programes que es podrien impulsar:

-  Recuperació després del part fins als deu mesos de vida: dos dies per setmana per a la mare i el nen (vincle afectiu).
-  Hàbits saludables en persones amb risc de diabetis i obesitat: dos dies d’activitat física per setmana.
-  Passeigs saludables pel parc: dos dies a la setmana.
-  Programes socials: de dos a tres dies a la setmana i segons l’oferta poliesportiva.
-  Programes de promoció de la salut i programes esportius: tres dies d’activitats esportives extraescolars en els centres educatius, així com l’aposta por l’esport base.
-  Programes d’envelliment actiu i saludable: de dos a tres dies a la setmana (per exemple, activitats de baix impacte o adaptades, como tai-txi al parc, danses populars o jocs tradicionals)."
162	Democracia Social	Fons Social de l'Esport: l'esport de tots	"Crearem un Fons Social de l'Esport, la gestió del qual es realitzarà a través de la Sotsdirecció General de Promoció i Innovació Esportiva del Consell Superior d'Esports. Establirem un departament en aquest Consell per gestionar el fons, que se centrarà en el mapatge, el finançament, la mediació i la promoció de projectes socioesportius, d'educació física i de recerca i difusió, així com en el foment de la creació de valor en l'esport a través de la R+D+i.

Exemples de destinataris:

-  Escoles o clubs esportius de zones deprimides, tant a ciutats com a zones rurals, que generin valor i fomentin els valors de l'esport dins la comunitat.
-  Associacions que realitzin activitats en el marc de l'esport i amb impacte a les escoles, relacionades amb el medi ambient o accions socials d'interès general.
-  Empreses o institucions que es dediquin a la recerca en l'entorn de l’esport, l'activitat  física i la millora de la salut a través de l'esport.
-  Suport a esportistes en esports no professionals i amb escassos recursos per a la participació a nivell nacional i internacional."
163	Democracia Social	Pla de suport a esportistes d’alt nivell	"Durant els últims anys hem vist com molts dels nostres més reconeguts i premiats esportistes han acabat les seves carreres esportives i, per diferents motius, no només no han estat capaços d'integrar-se en la societat i aportar tots els seus coneixements i experiència, sinó que, a més, en alguns casos han tingut un final tràgic. Per això, ens sentim obligats a oferir un sistema que pugui realitzar aquesta transició i, fins i tot, a assegurar-los vies d'accés a  les institucions d'aquelles àrees on poden aportar valor.
Promourem un Pla Nacional de Suport Integral a la Formació d'Esportistes d’Alt Nivell en Edat Escolar i Universitària, que està directament relacionat amb  la formació acadèmica i la compatibilització amb l'activitat esportiva, a més de  desenvolupar una cultura esportiva en les estructures acadèmiques. Aquest pla desenvoluparà programes específics d’acord amb les necessitats i els àmbits d'actuació:

-  Programa acadèmic per a col·legis, instituts d'ESO i batxillerat.
-  Programa de desenvolupament de l'esport universitari i dels  esportistes universitaris.
-  Pla d'accés a la funció pública i admissió com a funcionaris en els ministeris que més podrien beneficiar-se dels coneixements i experiències adquirides pels esportistes d’alt nivell, la qual cosa es concretarà  en una reserva de places en l'oferta pública d'ocupació  dels  següents ministeris:
    - Ministeri de Defensa: el 3 % de les places en cada oferta pública, distribuïdes entre els diferents cossos que ho integren: l'Estat Major, l'Exèrcit de Terra, l'Exèrcit de l'Aire, l'Armada i els Cossos Comuns.
    - Ministeri de l’Interior: el 2% de les places a cada oferta pública dels diferents cossos que l’integren: el Cos Nacional de Policia, la Guardia Civil, Institucions Penitenciàries, Protecció civil i Emergències, i la Direcció General de Trànsit.
    - Ministeri d'Hisenda i Administracions Públiques: el 2 % de les places a cada oferta pública del Departament de Duanes i Impostos Especials de l’agència Tributaria, i del Servei  de Vigilància Duanera.
    - Ministeri d'Educació, Cultura i Esport: el 2 % a cada oferta pública.
-  Proves d'accés adaptades a aquest col·lectiu.
-  Garantia de flexibilitat laboral, amb horaris i funcions que els permetin compatibilitzar aquesta activitat amb la d'entrenaments i competicions."
164	Democracia Social	Llei de Regulació de les Professions de l'Esport	Per atendre una de les principals demandes del sector, treballarem per a la professionalització de les ocupacions i les titulacions esportives, mitjançant el desenvolupament d’una llei estatal que unifiqui i confereixi un marc general i igualitari en totes les comunitats autònomes, atorgui una seguretat jurídica als professionals de l’esport, classifiqui les categories professionals, especifiqui les funcions i atribucions pròpies de cada una i assenyali com ha d’acreditar-se l’esmentada classificació per accedir legalment a l’exercici de la professió i combatre, doncs, l’intrusisme en l’esport.
165	Democracia Social	Més esport a les escoles: tres hores d'Educació Física setmanals i incorporació de l'assignatura d’Educació Física al currículum de segon de batxillerat	L'Educació Física és fonamental per a la formació de ciutadans autònoms amb un estil de vida actiu i saludable. Els informes del Programa Internacional per l’Avaluació d'Estudiants (PISA, per les seves sigles en anglès) assenyalen l'existència d'una relació directa entre els resultats acadèmics i el percentatge de temps escolar dedicat a l'Educació Física. D'altra banda, diversos estudis mèdics avalen la vinculació entre l'obesitat infantil i el sedentarisme. Impulsarem un canvi en la Llei d'Educació perquè, entre altres mesures, restitueixi a l'assignatura d'Educació Física el caràcter troncal que tenia abans de l'entrada en vigor de la LOMCE. Així mateix, adaptarem el nombre d’hores lectives dedicades a l'Educació Física a l'escola a la mitjana de la Unió Europea. Això suposa elevar a tres hores setmanals el temps dedicat a aquesta assignatura en l’educació primària i secundària. D'altra banda, i amb l’objectiu de preservar el pes específic de l'Educació Física al llarg de tota l’etapa d'ensenyament secundari, reincorporarem l'assignatura d'Educació Física al currículum de segon de batxillerat.
166	Democracia Social	Llei de Mecenatge i Patrocini Esportiu	Impulsarem una reforma de la Llei 49/2002, de 23 de desembre, de règim fiscal de les entitats sense ànim de lucre i dels incentius fiscals al mecenatge, amb l’objectiu d'equiparar (al nivell dels països més avançats) les desgravacions fiscals als particulars i a les empreses en les donacions de caràcter filantròpic, i incentivar així la posada en marxa de mecanismes de finançament i col·laboració entre el sector privat i el públic, en benefici de l'interès general, que incloguin no només el tercer sector, sinó també el de l'educació, la cultura i l'esport.
167	Democracia Social	Pla Estratègic per a l'Esport Adaptat	"Assentarem el Pla Estratègic per a l'Esport Adaptat sobre tres pilars fonamentals:

-  Crear una àrea específica d'Esport Adaptat en el Consell Superior d'Esports que s'encarregui de:
    - La promoció, la detecció de talents, la tecnificació i l'alt rendiment en l'Esport Adaptat.
    - El foment d'activitats de promoció de l'esport adaptat amb esportistes en edat escolar.
    - La coordinació del Comitè Paralímpic Espanyol i altres centres estatals dependents del Ministeri de Sanitat per la captació d'esportistes amb discapacitat.
    - L'impuls de plans de formació tècnica adequada en matèria de discapacitat per a tècnics i oficials esportius.
    - L'avaluació de les instal·lacions d'entrenament dels i les esportistes paralímpics per fomentar la seva millora i ampliació.
    - La promoció dels estudis i recerques en matèries com la classificació funcional dels esportistes, els nous materials per a pròtesis esportives, les cadires de rodes, les bicicletes, les embarcacions adaptades, etcètera.
-  Equiparar les ajudes que reben els i les esportistes olímpics a les que reben els i les esportistes paralímpics, les federacions espanyoles i el Comitè Paralímpic Espanyol.
-  Generar una estructura de gestió de l'esport adaptat en què s'abordi de forma transversal des de quatre àrees: esportiu-competitiva, recreativa, terapèutic-sanitària i educativa. Per això, crearem diferents taules de coordinació entre el Ministeri de Sanitat, Serveis Socials i Igualtat i el Ministeri d'Educació, Cultura i Esport, amb l’objectiu de coordinar els organismes públics i els privats, els clubs esportius, les fundacions, les federacions territorials i les empreses."
168	Democracia Social	Creació de l'Observatori de la Integritat de l'Esport contra el Frau, Arranjaments de Partits i Resultats Esportius	"Crearem l'Observatori de la Integritat de l'Esport Contra el Frau amb el suport dels Ministeris d'Interior i d’Hisenda Pública. Els seus objectius seran:

-  Fomentar i adoptar el fair play (joc net) en el resultat esportiu.
-  Rastrejar de forma sistemàtica els possibles fraus en l'esport.
-  Identificar les possibles alteracions o arranjament de resultats.
-  Alertar dels possibles fraus o competicions arranjades a les institucions que alberguen aquestes proves i a les autoritats competents en aquest esport i en la justícia ordinària.
-  Alertar els òrgans competents esportius perquè estableixin mesures correctives d’acord amb els seus estatuts i administrin les possibles sancions en cas de frau. Així mateix, s'instarà a que aquests organismes duguin a terme una actualització permanent de les seves directrius sancionadores."
169	Democracia Social	Creació d'una Cartera Estatal de Serveis Socials Garantits	"Garantirem a través d'una llei estatal que tots els ciutadans i ciutadanes tinguin accés a un catàleg de serveis socials mínim i comú, independentment de la comunitat autònoma on resideixin.

La Cartera Estatal de Serveis Socials Garantits, uns serveis socials que introduirem en la Constitució per garantir-los, comportarà també l'aplicació de polítiques actives de coordinació intersectorial (sanitat, habitatge, ocupació, educació i justícia) que es dissenyaran des del Ministeri de Sanitat, Serveis Socials i Igualtat en col·laboració amb els responsables autonòmics i municipals implicats."
170	Democracia Social	Un centre de serveis socials per cada vint mil habitants	Garantirem la prestació de serveis socials públics de proximitat per a tota la ciutadania. Tota la ciutadania tindrà accés universal i gratuït a un centre de serveis socials format per un treballador o una treballadora social, un educador o una educadora social i un psicòleg o una psicòloga. Promourem la gestió municipal dels equips de serveis socials.
